year|sex|name|n|prop
1880|F|Mary|7065|0.0723843285111266
1880|F|Anna|2604|0.026679234457604197
1880|F|Emma|2003|0.020521699930330723
1880|F|Elizabeth|1939|0.019865989098807425
1880|F|Minnie|1746|0.017888611122494978
1880|F|Margaret|1578|0.016167370189746323
1880|F|Ida|1472|0.01508134912503586
1880|F|Alice|1414|0.014487111183967871
1880|F|Bertha|1320|0.013524035900168025
1880|F|Sarah|1288|0.013196180484406376
1880|F|Annie|1258|0.012888816032129831
1880|F|Clara|1226|0.012560960616368182
1880|F|Ella|1156|0.011843776894389575
1880|F|Florence|1063|0.010890947092332282
1880|F|Cora|1045|0.010706528420966354
1880|F|Martha|1040|0.010655301012253596
1880|F|Laura|1012|0.010368427523462153
1880|F|Nellie|995|0.010194254333838778
1880|F|Grace|982|0.010061063071185606
1880|F|Carrie|949|0.009722962173681406
1880|F|Maude|858|0.008790623335109217
1880|F|Mabel|808|0.00827834924798164
1880|F|Bessie|796|0.008155403467071021
1880|F|Jennie|793|0.008124667021843368
1880|F|Gertrude|787|0.008063194131388058
1880|F|Julia|783|0.008022212204417851
1880|F|Hattie|769|0.00787877546002213
1880|F|Edith|768|0.007868529978279578
1880|F|Mattie|704|0.00721281914675628
1880|F|Rose|700|0.007171837219786074
1880|F|Catherine|688|0.007048891438875456
1880|F|Lillian|672|0.006884963730994631
1880|F|Ada|652|0.0066800540961436
1880|F|Lillie|647|0.006628826687430843
1880|F|Helen|636|0.006516126388262776
1880|F|Jessie|635|0.006505880906520225
1880|F|Louise|635|0.006505880906520225
1880|F|Ethel|633|0.006485389943035122
1880|F|Lula|621|0.006362444162124503
1880|F|Myrtle|615|0.006300971271669194
1880|F|Eva|614|0.006290725789926642
1880|F|Frances|605|0.0061985164542436785
1880|F|Lena|603|0.0061780254907585755
1880|F|Lucy|590|0.006044834228105406
1880|F|Edna|588|0.006024343264620303
1880|F|Maggie|582|0.005962870374164994
1880|F|Pearl|569|0.005829679111511823
1880|F|Daisy|564|0.005778451702799066
1880|F|Fannie|560|0.00573746977582886
1880|F|Josephine|544|0.005573542067948035
1880|F|Dora|524|0.005368632433097004
1880|F|Rosa|507|0.005194459243473628
1880|F|Katherine|502|0.0051432318347608705
1880|F|Agnes|473|0.004846112864226876
1880|F|Marie|471|0.004825621900741773
1880|F|Nora|471|0.004825621900741773
1880|F|May|462|0.004733412565058809
1880|F|Mamie|436|0.004467030039752469
1880|F|Blanche|427|0.004374820704069506
1880|F|Stella|414|0.004241629441416335
1880|F|Ellen|411|0.004210892996188681
1880|F|Nancy|410|0.004200647514446129
1880|F|Effie|406|0.004159665587475923
1880|F|Sallie|404|0.00413917462399082
1880|F|Nettie|403|0.004128929142248269
1880|F|Della|391|0.00400598336133765
1880|F|Lizzie|388|0.003975246916109995
1880|F|Flora|365|0.00373960083603131
1880|F|Susie|361|0.003698618909061104
1880|F|Maud|345|0.0035346912011802794
1880|F|Mae|344|0.003524445719437728
1880|F|Etta|323|0.0033092906028441456
1880|F|Harriet|319|0.0032683086758739394
1880|F|Sadie|317|0.0032478177123888364
1880|F|Caroline|306|0.0031351174132207694
1880|F|Katie|303|0.0031043809679931153
1880|F|Lydia|302|0.0030941354862505637
1880|F|Elsie|301|0.003083890004508012
1880|F|Kate|299|0.003063399041022909
1880|F|Susan|286|0.002930207778369739
1880|F|Mollie|283|0.0028994713331420845
1880|F|Alma|277|0.0028379984426867753
1880|F|Addie|274|0.0028072619974591206
1880|F|Georgia|259|0.0026535797713208476
1880|F|Eliza|252|0.002581861399122987
1880|F|Lulu|249|0.002551124953895332
1880|F|Nannie|248|0.0025408794721527806
1880|F|Lottie|245|0.002510143026925126
1880|F|Amanda|241|0.00246916109995492
1880|F|Belle|238|0.0024384246547272653
1880|F|Charlotte|237|0.0024281791729847137
1880|F|Rebecca|236|0.002417933691242162
1880|F|Ruth|234|0.002397442727757059
1880|F|Viola|229|0.0023462153190443014
1880|F|Olive|224|0.0022949879103315437
1880|F|Amelia|221|0.002264251465103889
1880|F|Hannah|221|0.002264251465103889
1880|F|Jane|215|0.00220277857464858
1880|F|Virginia|213|0.002182287611163477
1880|F|Emily|210|0.002151551165935822
1880|F|Matilda|210|0.002151551165935822
1880|F|Irene|204|0.002090078275480513
1880|F|Kathryn|204|0.002090078275480513
1880|F|Esther|198|0.0020286053850252037
1880|F|Willie|192|0.0019671324945698945
1880|F|Henrietta|191|0.001956887012827343
1880|F|Ollie|183|0.0018749231588869309
1880|F|Amy|167|0.0017109954510061063
1880|F|Rachel|166|0.0017007499692635547
1880|F|Sara|165|0.0016905044875210032
1880|F|Estella|162|0.0016597680422933486
1880|F|Theresa|153|0.0015675587066103847
1880|F|Augusta|151|0.0015470677431252819
1880|F|Ora|149|0.0015265767796401788
1880|F|Pauline|144|0.001475349370927421
1880|F|Josie|141|0.0014446129256997665
1880|F|Lola|138|0.0014138764804721119
1880|F|Sophia|138|0.0014138764804721119
1880|F|Leona|137|0.0014036309987295603
1880|F|Anne|136|0.0013933855169870088
1880|F|Mildred|132|0.0013524035900168026
1880|F|Ann|131|0.001342158108274251
1880|F|Beulah|131|0.001342158108274251
1880|F|Callie|131|0.001342158108274251
1880|F|Lou|131|0.001342158108274251
1880|F|Delia|129|0.001321667144789148
1880|F|Eleanor|129|0.001321667144789148
1880|F|Barbara|127|0.001301176181304045
1880|F|Iva|127|0.001301176181304045
1880|F|Louisa|126|0.0012909306995614934
1880|F|Maria|125|0.0012806852178189419
1880|F|Mayme|124|0.0012704397360763903
1880|F|Evelyn|122|0.0012499487725912872
1880|F|Estelle|119|0.0012192123273636326
1880|F|Nina|119|0.0012192123273636326
1880|F|Betty|117|0.0011987213638785296
1880|F|Marion|115|0.0011782304003934265
1880|F|Bettie|113|0.0011577394369083234
1880|F|Dorothy|112|0.0011474939551657719
1880|F|Luella|111|0.0011372484734232203
1880|F|Inez|106|0.0010860210647104626
1880|F|Lela|106|0.0010860210647104626
1880|F|Rosie|106|0.0010860210647104626
1880|F|Allie|105|0.001075775582967911
1880|F|Millie|105|0.001075775582967911
1880|F|Janie|96|9.835662472849472e-4
1880|F|Cornelia|94|9.630752837998443e-4
1880|F|Victoria|93|9.528298020572927e-4
1880|F|Ruby|92|9.425843203147412e-4
1880|F|Winifred|92|9.425843203147412e-4
1880|F|Alta|91|9.323388385721897e-4
1880|F|Celia|90|9.220933568296381e-4
1880|F|Christine|89|9.118478750870866e-4
1880|F|Beatrice|87|8.913569116019835e-4
1880|F|Birdie|85|8.708659481168804e-4
1880|F|Harriett|83|8.503749846317774e-4
1880|F|Mable|83|8.503749846317774e-4
1880|F|Myra|83|8.503749846317774e-4
1880|F|Sophie|83|8.503749846317774e-4
1880|F|Tillie|83|8.503749846317774e-4
1880|F|Isabel|81|8.298840211466743e-4
1880|F|Sylvia|81|8.298840211466743e-4
1880|F|Carolyn|80|8.196385394041227e-4
1880|F|Isabelle|80|8.196385394041227e-4
1880|F|Leila|80|8.196385394041227e-4
1880|F|Sally|80|8.196385394041227e-4
1880|F|Ina|79|8.093930576615712e-4
1880|F|Essie|78|7.991475759190197e-4
1880|F|Bertie|77|7.889020941764681e-4
1880|F|Nell|77|7.889020941764681e-4
1880|F|Alberta|76|7.786566124339166e-4
