hightemp|lowtemp|avgtemp|spring|summer|fall|cloudcover|precip|volume|weekday
83|50|66.5|0|1|0|7.59999990463257|0|501|1
73|49|61|0|1|0|6.30000019073486|0.28999999165535|419|1
74|52|63|1|0|0|7.5|0.319999992847443|397|1
95|61|78|0|1|0|2.59999990463257|0|385|0
44|52|48|1|0|0|10|0.140000000596046|200|1
69|54|61.5|1|0|0|6.59999990463257|0.0199999995529652|375|1
66|39|52.5|1|0|0|2.40000009536743|0|417|1
66|38|52|1|0|0|0|0|629|0
80|55|67.5|0|1|0|3.79999995231628|0|533|0
79|45|62|0|1|0|4.09999990463257|0|547|1
78|55|66.5|0|1|0|8.5|0|432|1
65|48|56.5|1|0|0|7.19999980926514|0|418|1
41|49|45|1|0|0|10|0.0299999993294477|193|1
59|35|47|0|0|1|7.69999980926514|0|331|1
50|35|42.5|0|0|1|5.80000019073486|0|280|1
54|32|43|1|0|0|3.59999990463257|0|304|1
97|71|84|0|1|0|6.09999990463257|0.680000007152557|352|0
75|43|59|1|0|0|6.30000019073486|0|156|1
63|35|49|1|0|0|8.60000038146973|0|365|1
42|37|39.5|0|0|1|10|0.150000005960464|181|1
70|49|59.5|1|0|0|7.90000009536743|0|514|0
57|48|52.5|1|0|0|6.80000019073486|0|259|1
71|39|55|1|0|0|5.19999980926514|0|452|1
46|30|38|0|0|1|9.69999980926514|0.200000002980232|189|1
61|35|48|1|0|0|4.40000009536743|0|362|1
81|65|73|0|1|0|10|1.44000005722046|256|1
64|58|61|0|1|0|10|1.14999997615814|155|1
57|36|46.5|1|0|0|6.5|0.00999999977648258|174|1
62|36|49|1|0|0|0|0|259|1
83|54|68.5|0|1|0|1.20000004768372|0|535|0
76|44|60|1|0|0|1.79999995231628|0|650|0
74|50|62|1|0|0|8|0.119999997317791|409|1
59|40|49.5|1|0|0|9.39999961853027|0.340000003576279|311|1
77|52|64.5|1|0|0|5|0|736|0
52|43|47.5|1|0|0|5.80000019073486|0.00999999977648258|186|1
67|43|55|1|0|0|6.69999980926514|0|371|1
51|19|35|0|0|1|0|0|291|0
41|25|33|0|0|1|0|0|287|1
90|65|77.5|0|1|0|8.39999961853027|0|411|1
70|30|50|1|0|0|0|0|461|0
81|39|60|1|0|0|0|0|540|1
72|53|62.5|0|1|0|7.90000009536743|0|376|1
70|63|66.5|0|1|0|9.89999961853027|0|554|1
69|41|55|0|0|1|6.40000009536743|0|339|1
59|34|46.5|1|0|0|2.40000009536743|0|344|1
60|32|46|0|0|1|1.20000004768372|0|348|0
72|47|59.5|1|0|0|4.09999990463257|0|517|1
70|47|58.5|1|0|0|9.89999961853027|0|328|1
76|72|74|0|1|0|9.69999980926514|0.349999994039536|298|1
56|38|47|1|0|0|0|0|335|1
66|38|52|1|0|0|3.90000009536743|0|186|1
84|69|76.5|0|1|0|8.89999961853027|0.00999999977648258|505|1
58|51|54.5|1|0|0|10|0.150000005960464|156|1
56|41|48.5|1|0|0|7|0|362|1
79|47|63|1|0|0|7|0.00999999977648258|507|0
67|39|53|1|0|0|6.80000019073486|0.0199999995529652|407|0
75|47|61|1|0|0|6.80000019073486|0|421|1
65|30|47.5|1|0|0|4.30000019073486|0|393|1
70|41|55.5|1|0|0|5.09999990463257|0|422|1
64|41|52.5|1|0|0|3.40000009536743|0|349|1
51|39|45|1|0|0|10|0.159999996423721|150|1
77|43|60|1|0|0|0.400000005960464|0|429|1
60|34|47|1|0|0|10|0|293|1
74|55|64.5|0|1|0|4.59999990463257|0|461|1
84|70|77|0|1|0|9.89999961853027|1.49000000953674|388|1
61|42|51.5|1|0|0|6.40000009536743|0.00999999977648258|322|1
49|43|46|1|0|0|9.69999980926514|0.119999997317791|129|0
71|42|56.5|0|0|1|4|0|415|0
70|62|66|1|0|0|3|0|460|1
83|60|71.5|0|1|0|8.19999980926514|0.140000000596046|405|1
90|66|78|0|1|0|6.59999990463257|0|453|1
92|66|79|0|1|0|7.90000009536743|0|395|1
88|54|71|0|1|0|6.19999980926514|0|531|1
62|39|50.5|1|0|0|0.800000011920929|0|236|1
86|50|68|1|0|0|6.19999980926514|0|484|1
67|43|55|1|0|0|0.400000005960464|0|445|1
59|35|47|0|0|1|1.70000004768372|0|252|1
89|69|79|0|1|0|9|0.360000014305115|286|0
63|46|54.5|1|0|0|6.90000009536743|0.170000001788139|400|0
59|46|52.5|0|0|1|10|0|261|0
74|55|64.5|1|0|0|7.80000019073486|0|339|0
80|33|56.5|1|0|0|0.699999988079071|0|617|0
55|45|50|1|0|0|9.60000038146973|0.200000002980232|316|0
62|28|45|0|0|1|5.69999980926514|0.0199999995529652|367|0
74|33|53.5|1|0|0|2.5|0|635|0
95|66|80.5|0|1|0|4.09999990463257|0|449|0
65|20|42.5|1|0|0|9.39999961853027|0.219999998807907|314|0
55|43|49|1|0|0|9|0|264|0
89|57|73|0|1|0|1.89999997615814|0|356|0
80|53|66.5|0|1|0|3.79999995231628|0|564|0
